agency,state,population,latitude,longitude,violent_crime_rate,property_crime_rate,homicide_rate,safety_score,safety_label
Abilene Police Dept,TX,119886,32.4887,99.7331,393.70735532088815,3664.314432043775,2.502377258395476,0.8276133492835553,Medium
Akron City Police Dept,OH,198390,41.0814,81.519,886.6374313221432,5057.714602550532,12.097383940722818,0.6521987236688074,Low
Alexandria Police Dept,VA,145892,38.8048,77.0469,166.56156608998438,2049.461245304746,0.0,0.9400635447119543,High
Allentown City Police Dept,PA,119334,40.6084,75.4902,547.2036469070006,3857.2410209998825,12.569762180099552,0.7595146217243265,Low
Amarillo Police Dept,TX,196576,35.222,101.8313,650.1302295295458,4527.510988116555,5.08709099788377,0.738749851268098,Low
Amherst Town Police Dept,NY,117591,43.0271,78.7703,74.8356591916048,1922.7661980933915,0.0,0.9617909194507689,High
Ann Arbor Police Dept,MI,115008,42.2808,83.743,197.37757373400112,2370.269894268225,0.8695047301057318,0.9191438326803861,High
Antioch Police Dept,CA,105009,38.0049,121.8058,1017.0556809416336,4530.087897227857,9.52299326724376,0.6571217650492885,Low
Arvada Police Dept,CO,109029,39.8028,105.0875,144.915572920966,2389.272578855167,0.0,0.9308209566735721,High
Athens-Clarke County Police Department,GA,117457,33.9519,83.3576,387.37580561396936,3917.1782013843367,4.256876984768894,0.813284111425329,Medium
Aurora Police Dept,IL,199765,41.7606,88.3201,281.8311516031337,1784.5969013590968,0.0,0.9292424798402589,High
Baton Rouge Police Dept,LA,231500,30.4583,91.1403,1082.937365010799,5209.071274298057,28.5097192224622,0.5574032551708377,Low
Beaumont Police Dept,TX,120323,30.0802,94.1266,1032.2216035171996,4840.30484612252,10.80425188866634,0.6381521330698878,Low
Bellevue Police Dept,WA,126022,47.6104,122.2007,127.75547126692166,2779.673390360413,1.5870244877878463,0.9136698961101495,High
Berkeley Police Dept,CA,114961,37.8716,122.2727,423.6219239568201,4954.723775889214,4.349301067318482,0.7660186008168768,Medium
Billings Police Dept,MT,106371,45.7833,108.5007,347.8391666901693,4523.78937868404,2.8203175677581296,0.8015837625254159,Medium
Birmingham Police Dept,AL,213266,33.5207,86.8025,1517.822812825298,6934.0635638123285,31.41616572730768,0.40131330995798975,Low
Boise Police Dept,ID,211569,43.6187,116.2146,267.9976745175333,2524.9445807278003,0.4726590379497941,0.9014756320599262,High
Boulder Police Dept,CO,100257,40.015,105.2705,248.36171040426103,2929.4712588647176,0.0,0.8908744590612815,High
Bridgeport Police Dept,CT,146030,41.1865,73.1952,1205.2318016845854,3528.7269739094704,15.065397521057315,0.6436893855515706,Low
Broken Arrow Police Dept,OK,100688,36.0609,95.7975,153.9408866995074,2172.056252979501,0.9931670109645638,0.934406074718916,High
Brownsville Police Dept,TX,181102,25.9017,97.4975,261.1787832271317,4603.483120009718,1.6565250521805392,0.8181161196961587,Medium
Burbank Police Dept,CA,105057,34.1808,118.309,231.3030069390902,2372.99751563437,1.903728452173582,0.9094862931553378,High
Cambridge Police Dept,MA,106981,42.3736,71.1097,402.8752769183313,2889.298099662557,0.9347454220842952,0.8611152063952183,Medium
Cape Coral Police Dept,FL,159625,26.5629,81.9495,143.46123727486295,2205.7948316366483,2.5058731401722785,0.930133836181538,High
Carslbad Police Dept,CA,107879,33.1581,117.3506,245.6455844047497,1954.9680660740275,1.853928938903772,0.9232676393701725,High
Carrollton Police Dept,TX,124477,32.9756,96.89,144.60502743478713,2742.675353679796,1.6067225270531904,0.9119577731565428,High
Cary Police Dept,NC,141016,35.7915,78.7811,81.55102967039201,1353.7470925285074,0.0,0.9826774875938765,High
Cedar Rapids Police Dept,IA,128401,41.9779,91.6656,277.2564076603765,3678.320262303253,2.336430401632386,0.8489366500176128,Medium
Centennial,CO,104022,39.5807,104.8772,150.92961104381766,1383.361212051297,0.9613351021899212,0.9657155412649153,High
Chandler Police Dept,AZ,242721,33.3062,111.8413,258.7332781259141,2707.2235200085693,1.6479826632223828,0.892295817555043,High
Charleston City Police Dept,SC,123856,32.7765,79.9311,238.987210954657,2723.323859966413,9.688670714377988,0.8693446662240373,Medium
Chattanooga Police Dept,TN,171541,35.0456,85.3097,996.2632839962458,6086.591543712582,12.8249223217773,0.589778812321136,Low
Chesapeake Police Dept,VA,227531,36.7682,76.2875,368.74096276990826,2765.3374704985254,5.274006618878307,0.8581860360848382,Medium
Chula Vista Police Dept,CA,249830,32.6401,117.0842,232.5581395348837,2033.7829724212463,3.202177480686867,0.9182516877588287,High
Clarksville Police Dept,TN,137356,36.5298,87.3595,637.0307813273538,2723.579603366434,7.280351786598328,0.8041886550852582,Medium
Clearwater Police Dept,FL,109255,27.9659,82.8001,665.4157704452886,3902.796210699739,2.7458697542446573,0.7677850130238482,Medium
Columbia Police Dept,MO,110646,38.9517,92.3341,430.2008206351789,3814.869041809012,2.711349709885581,0.8144022160715345,Medium
Columbia Police Dept,SC,131833,34.0007,81.0348,790.393907443508,5469.798912260208,6.068283358491425,0.6732646615399606,Low
Columbus Police Dept,GA,196178,32.461,84.9877,506.6827065216284,5742.743834680749,8.665599608518795,0.7062479043211548,Low
Concord Police Dept,CA,125205,38.0363,120.4013,321.0734395591231,3340.1221995926685,0.0,0.8615933817039543,Medium
Coral Springs Police Dept,FL,125021,26.2712,80.2706,183.16922756976828,2255.621055662649,0.7998656225754074,0.9264274889845899,High
Corona Police Dept,CA,157342,33.8753,117.5664,133.46722426307025,2633.117667247143,0.6355582107765251,0.9213897552995439,High
Costa Mesa Police Dept,CA,112635,33.6411,117.9187,225.50716917476805,3621.43205930661,3.5512940027522526,0.8567079133561125,Medium
Daly City Police Dept,CA,103311,37.6879,122.4702,209.0774457705375,1745.2159015012924,0.0,0.944100661241487,High
Davenport Police Dept,IA,101193,41.5236,90.5776,596.8792307768324,4039.805124860416,3.9528425879260425,0.7711205187713335,Medium
Dayton,OH,142139,39.7589,84.1916,973.694763576499,5899.155052448659,16.884880293234087,0.5880992805054981,Low
Denton Police Dept,TX,118942,33.2148,97.1331,310.235240705554,2742.513157673488,0.8407459097711489,0.8840941762903324,High
Des Moines Police Dept,IA,207400,41.6005,93.6091,527.4831243972999,4922.854387656702,3.375120540019286,0.7513744201482833,Low
Downey Police Dept,CA,113628,33.9401,118.1332,335.304678424332,3112.789101277854,5.280388636603654,0.8507857175365924,Medium
Durham Police Dept,NC,235563,35.994,78.8986,725.9204544007335,4363.588509231076,8.914812597903746,0.7188876457449491,Low
Edison Twp Police Dept,NJ,101007,40.5187,74.4121,120.78370805983744,1466.235013414912,0.0,0.97111838103163,High
El Cajon Police Dept,CA,101864,32.7948,116.9625,358.32089845283906,2369.826435246996,1.963402183303228,0.886149022482444,High
El Monte Police Dept,CA,115356,34.0686,118.0276,342.41825306009224,1933.1460868962167,3.467526613266757,0.9011822187705727,High
Elgin Police Dept,IL,109155,42.0354,88.2826,235.44500939031653,1815.7665704731803,1.8322568824149144,0.9306166806657917,High
Elizabeth Police Dept,NJ,126281,40.664,74.2107,797.4279582835105,3445.490612206112,11.086386709006106,0.734466816314422,Low
Erie Police Dept,PA,101972,42.1292,80.0851,449.1429019730907,3442.1213666496683,7.845290864158788,0.8088560874873341,Medium
Escondido Police Dept,CA,147386,33.1192,117.0864,426.0920304506534,2637.292551531353,3.3924524717408704,0.8587276239886349,Medium
Eugene Police Dept,OR,158043,44.0521,123.0868,272.07785223008926,5064.444486627057,0.0,0.803547460628373,Medium
Evansville Police Dept,IN,118194,37.9716,87.5711,473.7973162766299,5146.623348054893,6.768533089666142,0.7415629072474507,Low
Everett Police Dept,WA,105318,47.979,122.2021,456.7120530203764,6092.026054425644,0.9495053077346703,0.7267212068591309,Low
Fairfield Police Dept,CA,107110,41.1408,73.2613,423.8633180842125,3096.8163570161514,7.4689571468583695,0.8281225557810746,Medium
Fargo Police Dept,ND,109813,46.8772,96.7898,358.7917641809258,2581.661551910976,1.8212779907661203,0.8782876727604244,Medium
Fayetteville Police Dept,NC,205966,35.0527,78.8784,575.8231941194178,6390.860627482206,10.681374595807076,0.6618874444147178,Low
Flint City Police Dept,MI,101632,43.0125,83.6875,2729.455289672544,5554.352959697733,61.988350125944585,0.134346664845437,Low
Fontana Police Dept,CA,200874,34.0922,117.435,423.150830869102,2237.223334030288,2.489122534524129,0.8777308888029626,Medium
Fort Collins Police Dept,CO,148792,40.5853,105.0844,262.7829453196408,2768.293994300769,1.3441582880800045,0.8901605371071004,High
Fort Lauderdale Police Dept,FL,170827,26.1224,80.1373,903.2529986477548,5830.460056080128,9.36620089330141,0.6279316892799052,Low
